id,name,city,country,surface,code,start_date,end_date,season,country_code
1355,Hall of Fame Open,Newport,USA,Outdoor Grass,ATP,2021-07-12,2021-07-18,2021,USA
1356,Hamburg European Open,Hamburg,Germany,Outdoor Clay,ATP,2021-07-12,2021-07-18,2021,DEU
1357,Nordea Open,Bastad,Sweden,Outdoor Clay,ATP,2021-07-12,2021-07-18,2021,SWE
1360,Swiss Open Gstaad,Gstaad,Switzerland,Outdoor Clay,ATP,2021-07-19,2021-07-25,2021,CHE
1358,Mifel Open,Los Cabos,Mexico,Outdoor Hard,ATP,2021-07-19,2021-07-25,2021,MEX
1359,Plava Laguna Croatia Open Umag,Umag,Croatia,Outdoor Clay,ATP,2021-07-19,2021-07-25,2021,HRV
1362,Generali Open,Kitzbuhel,Austria,Outdoor Clay,ATP,2021-07-26,2021-07-31,2021,AUT
1363,Truist Atlanta Open,Atlanta,USA,Outdoor Hard,ATP,2021-07-26,2021-08-01,2021,USA
1364,Citi Open,Washington,USA,Outdoor Hard,ATP,2021-08-02,2021-08-08,2021,USA
1365,National Bank Open Presented by Rogers,Toronto,Canada,Outdoor Hard,ATP,2021-08-09,2021-08-15,2021,CAN
1366,Western & Southern Open,Cincinnati,USA,Outdoor Hard,ATP,2021-08-15,2021-08-22,2021,USA
1367,Winston-Salem Open,Winston-Salem,USA,Outdoor Hard,ATP,2021-08-22,2021-08-28,2021,USA
1368,US Open,New York,USA,Outdoor Hard,ATP,2021-08-30,2021-09-12,2021,USA
1370,St. Petersburg Open,St. Petersburg,Russia,Indoor Hard,ATP,2021-09-20,2021-09-26,2021,False
1369,Moselle Open,Metz,France,Indoor Hard,ATP,2021-09-20,2021-09-26,2021,FRA
1374,Zhuhai Championships,Zhuhai,China,Outdoor Hard,ATP,2021-09-27,2021-10-03,2021,CHN
1373,Sofia Open,Sofia,Bulgaria,Indoor Hard,ATP,2021-09-27,2021-10-03,2021,BGR
1372,Chengdu Open,Chengdu,China,Outdoor Hard,ATP,2021-09-27,2021-10-03,2021,CHN
1375,China Open,Beijing,China,Outdoor Hard,ATP,2021-10-04,2021-10-10,2021,CHN
1376,Rakuten Japan Open Tennis Championships,Tokyo,Japan,Outdoor Hard,ATP,2021-10-04,2021-10-10,2021,JPN
1377,Rolex Shanghai Masters,Shanghai,China,Outdoor Hard,ATP,2021-10-10,2021-10-17,2021,CHN
1378,European Open,Antwerp,Belgium,Indoor Hard,ATP,2021-10-18,2021-10-24,2021,BEL
1380,VTB Kremlin Cup,Moscow,Russia,Indoor Hard,ATP,2021-10-18,2021-10-24,2021,False
1381,Erste Bank Open,Vienna,Austria,Indoor Hard,ATP,2021-10-25,2021-10-31,2021,AUT
1382,Swiss Indoors Basel,Basel,Switzerland,Indoor Hard,ATP,2021-10-25,2021-10-31,2021,CHE
1383,Rolex Paris Masters,Paris,France,Indoor Hard,ATP,2021-11-01,2021-11-07,2021,FRA
1379,Stockholm Open,Stockholm,Sweden,Indoor Hard,ATP,2021-11-07,2021-11-13,2021,SWE
1384,Next Gen ATP Finals,Milan,Italy,Indoor Hard,ATP,2021-11-09,2021-11-13,2021,ITA
1385,Nitto ATP Finals,Turin,Italy,Indoor Hard,ATP,2021-11-14,2021-11-21,2021,ITA
1433,Adelaide International 1,Adelaide,Australia,Outdoor Hard,ATP,2022-01-03,2022-01-09,2022,AUS
1434,Melbourne Summer Set,Melbourne,Australia,Outdoor Hard,ATP,2022-01-04,2022-01-09,2022,AUS
1436,Sydney Tennis Classic,Sydney,Australia,Outdoor Hard,ATP,2022-01-10,2022-01-15,2022,AUS
1435,Adelaide International 2,Adelaide,Australia,Outdoor Hard,ATP,2022-01-10,2022-01-15,2022,AUS
1437,Australian Open,Melbourne,Australia,Outdoor Hard,ATP,2022-01-17,2022-01-30,2022,AUS
1438,Cordoba Open,Cordoba,Argentina,Outdoor Clay,ATP,2022-01-31,2022-02-06,2022,ARG
1439,Open Sud de France â?? Montpellier,Montpellier,France,Indoor Hard,ATP,2022-01-31,2022-02-06,2022,FRA
1440,Tata Open Maharashtra,Pune,India,Outdoor Hard,ATP,2022-01-31,2022-02-06,2022,IND
1441,ABN AMRO Open,Rotterdam,Netherlands,Indoor Hard,ATP,2022-02-07,2022-02-13,2022,NLD
1442,Argentina Open,Buenos Aires,Argentina,Outdoor Clay,ATP,2022-02-07,2022-02-13,2022,ARG
1443,Dallas Open,Dallas,USA,Indoor Hard,ATP,2022-02-07,2022-02-13,2022,USA
1444,Delray Beach Open by VITACOST.com,Delray Beach,USA,Outdoor Hard,ATP,2022-02-14,2022-02-20,2022,USA
1445,Open 13 Provence,Marseille,France,Indoor Hard,ATP,2022-02-14,2022-02-20,2022,FRA
1446,Qatar ExxonMobil Open,Doha,Qatar,Outdoor Hard,ATP,2022-02-14,2022-02-19,2022,QAT
1447,Rio Open presented by Claro,Rio de Janeiro,Brazil,Outdoor Clay,ATP,2022-02-14,2022-02-20,2022,BRA
1448,Abierto Mexicano Telcel presentado por HSBC,Acapulco,Mexico,Outdoor Hard,ATP,2022-02-21,2022-02-26,2022,MEX
1449,Chile Dove Men+Care Open,Santiago,Chile,Outdoor Clay,ATP,2022-02-21,2022-02-27,2022,CHL
1450,Dubai Duty Free Tennis Championships,Dubai,U.A.E.,Outdoor Hard,ATP,2022-02-21,2022-02-26,2022,False
1451,BNP Paribas Open,Indian Wells,USA,Outdoor Hard,ATP,2022-03-10,2022-03-20,2022,USA
1452,Miami Open presented by Itau,Miami,USA,Outdoor Hard,ATP,2022-03-23,2022-04-03,2022,USA
1453,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Houston,USA,Outdoor Clay,ATP,2022-04-04,2022-04-10,2022,USA
1454,Grand Prix Hassan II,Marrakech,Morocco,Outdoor Clay,ATP,2022-04-04,2022-04-10,2022,MAR
1455,Rolex Monte-Carlo Masters,Monte Carlo,Monaco,Outdoor Clay,ATP,2022-04-10,2022-04-17,2022,MCO
1456,Barcelona Open Banc Sabadell,Barcelona,Spain,Outdoor Clay,ATP,2022-04-18,2022-04-24,2022,ESP
1457,Serbia Open,Belgrade,Serbia,Outdoor Clay,ATP,2022-04-18,2022-04-24,2022,SRB
1458,BMW Open by American Express,Munich,Germany,Outdoor Clay,ATP,2022-04-25,2022-05-01,2022,DEU
1459,Millennium Estoril Open,Estoril,Portugal,Outdoor Clay,ATP,2022-04-25,2022-05-01,2022,PRT
1460,Mutua Madrid Open,Madrid,Spain,Outdoor Clay,ATP,2022-05-01,2022-05-08,2022,ESP
1461,Internazionali BNL d'Italia,Rome,Italy,Outdoor Clay,ATP,2022-05-08,2022-05-15,2022,ITA
1462,Gonet Geneva Open,Geneva,Switzerland,Outdoor Clay,ATP,2022-05-15,2022-05-21,2022,CHE
1463,Open Parc Auvergne-Rhone-Alpes Lyon,Lyon,France,Outdoor Clay,ATP,2022-05-15,2022-05-21,2022,FRA
1464,Roland Garros,Paris,France,Outdoor Clay,ATP,2022-05-22,2022-06-05,2022,FRA
1465,Libema Open,'s-Hertogenbosch,Netherlands,Outdoor Grass,ATP,2022-06-06,2022-06-12,2022,NLD
1466,BOSS OPEN,Stuttgart,Germany,Outdoor Grass,ATP,2022-06-06,2022-06-12,2022,DEU
1467,Cinch Championships,London,Great Britain,Outdoor Grass,ATP,2022-06-13,2022-06-19,2022,False
1468,Terra Wortmann Open,Halle,Germany,Outdoor Grass,ATP,2022-06-13,2022-06-19,2022,DEU
1469,Mallorca Championships,Mallorca,Spain,Outdoor Grass,ATP,2022-06-19,2022-06-25,2022,ESP
1470,Rothesay International,Eastbourne,Great Britain,Outdoor Grass,ATP,2022-06-20,2022-06-25,2022,False
1471,Wimbledon,London,Great Britain,Outdoor Grass,ATP,2022-06-27,2022-07-10,2022,False
1553,Infosys Hall of Fame Open,Newport,USA,Outdoor Grass,ATP,2022-07-11,2022-07-17,2022,USA
1554,Nordea Open,Bastad,Sweden,Outdoor Clay,ATP,2022-07-11,2022-07-17,2022,SWE
1555,Hamburg European Open,Hamburg,Germany,Outdoor Clay,ATP,2022-07-18,2022-07-24,2022,DEU
1556,EFG Swiss Open Gstaad,Gstaad,Switzerland,Outdoor Clay,ATP,2022-07-18,2022-07-24,2022,CHE
1557,Atlanta Open,Atlanta,USA,Outdoor Hard,ATP,2022-07-25,2022-07-31,2022,USA
1558,Generali Open,Kitzbuhel,Austria,Outdoor Clay,ATP,2022-07-25,2022-07-30,2022,AUT
1559,Plava Laguna Croatia Open Umag,Umag,Croatia,Outdoor Clay,ATP,2022-07-25,2022-07-31,2022,HRV
1560,Citi Open,Washington,USA,Outdoor Hard,ATP,2022-08-01,2022-08-07,2022,USA
1561,Abierto de Tenis Mifel,Los Cabos,Mexico,Outdoor Hard,ATP,2022-08-01,2022-08-06,2022,MEX
1562,National Bank Open Presented by Rogers,Montreal,Canada,Outdoor Hard,ATP,2022-08-08,2022-08-14,2022,CAN
1563,Western & Southern Open,Cincinnati,USA,Outdoor Hard,ATP,2022-08-14,2022-08-21,2022,USA
1564,Winston-Salem Open,Winston-Salem,USA,Outdoor Hard,ATP,2022-08-21,2022-08-27,2022,USA
1565,US Open,NY,USA,Outdoor Hard,ATP,2022-08-29,2022-09-11,2022,USA
1569,San Diego Open,San Diego,USA,Outdoor Hard,ATP,2022-09-19,2022-09-25,2022,USA
1570,Moselle Open,Metz,France,Indoor Hard,ATP,2022-09-19,2022-09-25,2022,FRA
1572,Korea Open,Seoul,Korea,Outdoor Hard,ATP,2022-09-26,2022-10-02,2022,False
1573,Tel Aviv Watergen Open,Tel Aviv,Israel,Indoor Hard,ATP,2022-09-26,2022-10-02,2022,ISR
1574,Sofia Open,Sofia,Bulgaria,Indoor Hard,ATP,2022-09-26,2022-10-02,2022,BGR
1575,Rakuten Japan Open Tennis Championships,Tokyo,Japan,Outdoor Hard,ATP,2022-10-03,2022-10-09,2022,JPN
1576,Astana Open,Nur-Sultan,Kazakhstan,Indoor Hard,ATP,2022-10-03,2022-10-09,2022,KAZ
1577,Gijon Open,Gijon,Spain,Indoor Hard,ATP,2022-10-10,2022-10-16,2022,ESP
1578,UniCredit Firenze Open,Florence,Italy,Indoor Hard,ATP,2022-10-10,2022-10-16,2022,ITA
1579,European Open,Antwerp,Belgium,Indoor Hard,ATP,2022-10-17,2022-10-23,2022,BEL
1580,Stockholm Open,Stockholm,Sweden,Indoor Hard,ATP,2022-10-17,2022-10-23,2022,SWE
1581,Tennis Napoli Cup,Naples,Italy,Outdoor Hard,ATP,2022-10-17,2022-10-23,2022,ITA
1582,Erste Bank Open,Vienna,Austria,Indoor Hard,ATP,2022-10-24,2022-10-30,2022,AUT
1583,Swiss Indoors Basel,Basel,Switzerland,Indoor Hard,ATP,2022-10-24,2022-10-30,2022,CHE
1584,Rolex Paris Masters,Paris,France,Indoor Hard,ATP,2022-10-31,2022-11-06,2022,FRA
1585,Intesa Sanpaolo Next Gen ATP Finals,Milan,Italy,Indoor Hard,ATP,2022-11-08,2022-11-12,2022,ITA
1586,Nitto ATP Finals,Turin,Italy,Indoor Hard,ATP,2022-11-13,2022-11-20,2022,ITA
1075,Sydney International,Sydney,Australia,Hard,WTA,2019-01-07,2019-01-12,2019,AUS
1076,Hobart International,Hobart,Australia,Hard,WTA,2019-01-07,2019-01-12,2019,AUS
1077,Australian Open,Melbourne,Australia,Hard,WTA,2019-01-14,2019-01-26,2019,AUS
1079,Toyota Thailand Open presented by E@,Hua Hin,Thailand,Hard,WTA,2019-01-28,2019-02-03,2019,THA
1080,St. Petersburg Ladies Trophy,St. Petersburg,Russia,Hard,WTA,2019-01-28,2019-02-03,2019,False
1081,Qatar Total Open 2019,Doha,Qatar,Hard,WTA,2019-02-11,2019-02-16,2019,QAT
1082,Dubai Duty Free Tennis Championships,Dubai,United Arab Emirates,Hard,WTA,2019-02-17,2019-02-23,2019,ARE
1083,Hungarian Ladies Open,Budapest,Hungary,Hard,WTA,2019-02-18,2019-02-24,2019,HUN
1085,Abierto Mexicano TELCEL presentado por HSBC,Acapulco,Mexico,Hard,WTA,2019-02-25,2019-03-02,2019,MEX
1086,BNP Paribas Open,Indian Wells,USA,Hard,WTA,2019-03-06,2019-03-17,2019,USA
1088,Miami Open presented by Itau,Miami,USA,Hard,WTA,2019-03-19,2019-03-30,2019,USA
1090,Volvo Car Open,Charleston,USA,Hard,WTA,2019-04-01,2019-04-07,2019,USA
1089,Abierto GNP Seguros,Monterrey,Mexico,Hard,WTA,2019-04-01,2019-04-07,2019,MEX
1092,Samsung Open presented by Corner,Lugano,Switzerland,Hard,WTA,2019-04-08,2019-04-14,2019,CHE
1091,Claro Open Colsanitas,Bogota,Colombia,Hard,WTA,2019-04-08,2019-04-14,2019,COL
1094,Porsche Tennis Grand Prix,Stuttgart,Germany,Hard,WTA,2019-04-22,2019-04-28,2019,DEU
1095,TEB BNP Paribas Istanbul Cup,Istanbul,Turkey,Hard,WTA,2019-04-22,2019-04-28,2019,TUR
1096,J&T Banka Prague Open,Prague,Czech Republic,Hard,WTA,2019-04-29,2019-05-04,2019,CZE
1097,Grand Prix De SAR La Princesse Lalla Meryem,Rabat,Morocco,Hard,WTA,2019-04-29,2019-05-04,2019,MAR
1098,Mutua Madrid Open,Madrid,Spain,Hard,WTA,2019-05-04,2019-05-11,2019,ESP
1099,Internazionali BNL d'Italia,Rome,Italy,Hard,WTA,2019-05-13,2019-05-19,2019,ITA
1100,Internationaux de Strasbourg,Strasbourg,France,Hard,WTA,2019-05-19,2019-05-25,2019,FRA
1101,ER VERSICHERUNGSCUP 2019,Nürnberg,Germany,Hard,WTA,2019-05-19,2019-05-25,2019,DEU
1102,Roland Garros,Paris,France,Outdoor Clay,WTA,2019-05-26,2019-06-09,2019,FRA
1104,Libema Open,'s-hertogenbosch,Netherlands,Hard,WTA,2019-06-10,2019-06-16,2019,NLD
1105,Nature Valley Open,Nottingham,Great Britain,Hard,WTA,2019-06-10,2019-06-16,2019,False
1106,Nature Valley Classic,Birmingham,Great Britain,Hard,WTA,2019-06-17,2019-06-23,2019,False
1107,Mallorca Open,Mallorca,Spain,Hard,WTA,2019-06-17,2019-06-23,2019,ESP
1108,Nature Valley International,Eastbourne,Great Britain,Hard,WTA,2019-06-23,2019-06-29,2019,False
1109,Wimbledon,London,Great Britain,Outdoor Grass,WTA,2019-07-01,2019-07-14,2019,False
1111,Ladies Championships Lausanne,Lausanne,Switzerland,Hard,WTA,2019-07-15,2019-07-21,2019,CHE
1112,Bucharest Open,Bucharest,Romania,Hard,WTA,2019-07-15,2019-07-21,2019,ROU
1113,Baltic Open,Jurmala,Latvia,Hard,WTA,2019-07-22,2019-07-28,2019,LVA
1114,Palermo Ladies Open,Palermo,Italy,Hard,WTA,2019-07-22,2019-07-28,2019,ITA
1115,Citi Open,Washington Dc,USA,Hard,WTA,2019-07-29,2019-08-04,2019,USA
1116,Mubadala Silicon Valley Classic,San Jose,USA,Hard,WTA,2019-07-29,2019-08-04,2019,USA
1117,Rogers Cup presented by National Bank,Toronto,Canada,Hard,WTA,2019-08-05,2019-08-11,2019,CAN
1118,Western & Southern Open,Cincinnati,USA,Hard,WTA,2019-08-12,2019-08-18,2019,USA
1140,NYJTL Bronx Open,New York,USA,Hard,WTA,2019-08-18,2019-08-24,2019,USA
1120,US Open,New York,USA,Outdoor Hard,WTA,2019-08-26,2019-09-07,2019,USA
1139,Zhengzhou Open,Zhengzhou,China,Hard,WTA,2019-09-09,2019-09-15,2019,CHN
1121,Hana-cupid Japan Women's Open,Hiroshima,Japan,Hard,WTA,2019-09-09,2019-09-15,2019,JPN
1122,Coupe Banque Nationale,Quebec City,Canada,Hard,WTA,2019-09-09,2019-09-15,2019,CAN
1123,Jiangxi Open,Nanchang,China,Hard,WTA,2019-09-09,2019-09-15,2019,CHN
1124,Toray Pan Pacific Open Tennis Tournament,Osaka,Japan,Hard,WTA,2019-09-16,2019-09-22,2019,JPN
1125,Guangzhou Open,Guangzhou,China,Hard,WTA,2019-09-16,2019-09-21,2019,CHN
1126,Korea Open,Seoul,Korea,Hard,WTA,2019-09-16,2019-09-22,2019,False
1127,Wuhan Open,Wuhan,China,Hard,WTA,2019-09-22,2019-09-28,2019,CHN
1128,Tashkent Open,Tashkent,Uzbekistan,Hard,WTA,2019-09-23,2019-09-28,2019,UZB
1129,China Open,Beijing,China,Hard,WTA,2019-09-28,2019-10-06,2019,CHN
1130,Tianjin Open,Tianjin,China,Hard,WTA,2019-10-07,2019-10-13,2019,CHN
1131,Prudential Hong Kong Tennis Open,Hong Kong,"Hong Kong, China",Hard,WTA,2019-10-07,2019-10-13,2019,False
1132,Upper Austria Ladies Linz,Linz,Austria,Hard,WTA,2019-10-07,2019-10-13,2019,AUT
1133,VTB Kremlin Cup,Moscow,Russia,Hard,WTA,2019-10-14,2019-10-20,2019,False
1134,BGL BNP Paribas Luxembourg Open,Luxembourg,Luxembourg,Hard,WTA,2019-10-14,2019-10-20,2019,LUX
1135,WTA Elite Trophy Zhuhai,Zhuhai,China,Hard,WTA,2019-10-22,2019-10-27,2019,CHN
1136,Shiseido WTA Finals Shenzhen,Shenzhen,China,Hard,WTA,2019-10-27,2019-11-03,2019,CHN
1072,Shenzhen Open,Shenzhen,China,Hard,WTA,2019-12-30,2019-01-05,2019,CHN
1073,ASB Classic,Auckland,New Zealand,Hard,WTA,2019-12-31,2019-01-06,2019,NZL
1074,Brisbane International,Brisbane,Australia,Hard,WTA,2019-12-31,2019-01-06,2019,AUS
1215,Shenzhen Open,Shenzhen,China,Hard Outdoor,WTA,2020-01-05,2020-01-11,2020,CHN
1216,Brisbane International,Brisbane,Australia,Hard Outdoor,WTA,2020-01-06,2020-01-12,2020,AUS
1217,ASB Classic 2020,Auckland,New Zealand,Hard Outdoor,WTA,2020-01-06,2020-01-12,2020,NZL
1218,Hobart International,Hobart,Australia,Hard Outdoor,WTA,2020-01-13,2020-01-18,2020,AUS
1219,Adelaide International,Adelaide,Australia,Hard Outdoor,WTA,2020-01-13,2020-01-18,2020,AUS
1220,Australian Open,Melbourne,Australia,Hard Outdoor,WTA,2020-01-20,2020-02-02,2020,AUS
1221,St. Petersburg Ladies Trophy,St. Petersburg,Russia,Hard Indoor,WTA,2020-02-10,2020-02-16,2020,False
1222,GSB Thailand Open presented by E@,Hua Hin,Thailand,Hard Outdoor,WTA,2020-02-10,2020-02-16,2020,THA
1223,Dubai Duty Free Tennis Championships,Dubai,United Arab Emirates,Hard Outdoor,WTA,2020-02-17,2020-02-22,2020,ARE
1224,Qatar Total Open 2020,Doha,Qatar,Hard Outdoor,WTA,2020-02-23,2020-02-29,2020,QAT
1225,Abierto Mexicano TELCEL presentado por HSBC,Acapulco,Mexico,Hard Outdoor,WTA,2020-02-24,2020-02-29,2020,MEX
1227,"Open 6ème Sens – Métropole de Lyon, France",Lyon,France,Hard Indoor,WTA,2020-03-02,2020-03-08,2020,FRA
1226,Abierto GNP Seguros,Monterrey,Mexico,Hard Outdoor,WTA,2020-03-02,2020-03-08,2020,MEX
1228,BNP Paribas Open,Indian Wells,"United States, Ca",Hard Outdoor,WTA,2020-03-11,2020-03-22,2020,False
1229,Miami Open presented by Itau,Miami,"United States, Fl",Hard Outdoor,WTA,2020-03-24,2020-04-04,2020,False
1230,Copa Colsanitas presentado por Claro,Bogota,Colombia,Clay Outdoor,WTA,2020-04-06,2020-04-12,2020,COL
1231,Volvo Car Open,Charleston,"United States, Sc",Clay Outdoor,WTA,2020-04-06,2020-04-12,2020,False
1233,Porsche Tennis Grand Prix,Stuttgart,Germany,Clay Indoor,WTA,2020-04-20,2020-04-26,2020,DEU
1235,Grand Prix De SAR La Princesse Lalla Meryem,Rabat,Morocco,Clay Outdoor,WTA,2020-05-17,2020-05-23,2020,MAR
1241,Nature Valley Open,Nottingham,Great Britain,Grass Outdoor,WTA,2020-06-08,2020-06-14,2020,False
1240,Libema Open,'s-hertogenbosch,Netherlands,Grass Outdoor,WTA,2020-06-08,2020-06-14,2020,NLD
1243,Nature Valley Classic,Birmingham,Great Britain,Grass Outdoor,WTA,2020-06-15,2020-06-21,2020,False
1242,bett1open,Berlin,Germany,Grass Outdoor,WTA,2020-06-15,2020-06-21,2020,DEU
1244,Nature Valley International,Eastbourne,Great Britain,Grass Outdoor,WTA,2020-06-21,2020-06-27,2020,False
1245,Bad Homburg Open,Bad Homburg,Germany,Grass Outdoor,WTA,2020-06-21,2020-06-27,2020,DEU
1246,"The Championships, Wimbledon",Wimbledon,Great Britain,Grass Outdoor,WTA,2020-06-29,2020-07-11,2020,False
1247,BRD Bucharest Open,Bucharest,Romania,Clay Outdoor,WTA,2020-07-13,2020-07-19,2020,ROU
1248,Ladies Open Lausanne,Lausanne,Switzerland,Clay Outdoor,WTA,2020-07-13,2020-07-19,2020,CHE
1250,Baltic Open,Jurmala,Latvia,Clay Outdoor,WTA,2020-07-20,2020-07-26,2020,LVA
1252,Mubadala Silicon Valley Classic,San Jose,"United States, Ca",Hard Outdoor,WTA,2020-08-03,2020-08-09,2020,False
1251,Citi Open,Washington Dc,"United States, Dc",Hard Outdoor,WTA,2020-08-03,2020-08-09,2020,False
1249,31st Palermo Ladies Open,Palermo,Italy,Clay Outdoor,WTA,2020-08-03,2020-08-09,2020,ITA
1272,The Top Seed Open presented by Bluegrass Orthopaedics,Lexington,"United States, Ky",Hard Outdoor,WTA,2020-08-10,2020-08-16,2020,False
